# index x y z
776 1.11735 0.387679 0.963944
777 1.12015 0.387413 0.962526
778 1.12296 0.387146 0.961105
779 1.12654 0.386832 0.960332
780 1.12783 0.386658 0.957605
781 1.12988 0.386437 0.95553
782 1.12886 0.386406 0.950868
783 1.12475 0.386566 0.943638
784 1.10984 0.387394 0.92742
785 0.916324 0.401713 0.967842
786 0.925759 0.401064 0.973945
787 0.929698 0.40074 0.974226
788 0.933646 0.400415 0.974499
789 0.936215 0.400172 0.973322
790 0.938787 0.399928 0.972142
791 0.94345 0.39956 0.973113
792 0.948125 0.39919 0.974073
793 0.955607 0.398651 0.977884
794 0.964512 0.398025 0.983099
795 0.969935 0.397608 0.984724
796 0.971857 0.397401 0.982779
797 0.971665 0.397322 0.978705
798 0.971464 0.397244 0.97464
799 0.97267 0.397081 0.971996
800 0.973164 0.396962 0.96865
801 0.974363 0.396799 0.966014
802 0.977693 0.396508 0.965489
803 0.980317 0.396259 0.964256
804 0.979371 0.396227 0.959522
805 0.970541 0.396679 0.947116
806 0.985432 0.394811 0.920661
807 1.00562 0.393471 0.935803
808 1.03981 0.391255 0.963799
809 1.05428 0.390264 0.973343
810 1.06438 0.389543 0.978776
811 1.07082 0.38905 0.980798
812 1.07283 0.388833 0.978756
813 1.07263 0.388756 0.974695
814 1.07093 0.388772 0.969299
815 1.06773 0.388884 0.962576
816 1.066 0.388903 0.95721
817 1.06725 0.388736 0.954529
818 1.06849 0.38857 0.951851
819 1.07347 0.388166 0.952498
820 1.08147 0.387572 0.955788
