# index x y z
655 0.857748 1.19413 2.0648
656 0.862247 1.19531 2.06612
657 0.830387 1.19392 2.09494
658 0.829826 1.19067 2.08375
659 0.829661 1.18779 2.07362
660 0.830317 1.18565 2.06561
661 0.833908 1.18609 2.06491
662 0.83666 1.18579 2.06213
663 0.84026 1.18623 2.06143
664 0.844291 1.18704 2.06176
665 0.849184 1.18859 2.06415
666 0.853234 1.18939 2.06446
667 0.857723 1.19057 2.0658
668 0.82827 1.18852 2.09071
669 0.828122 1.18565 2.08057
670 0.828791 1.18352 2.07255
671 0.829447 1.18138 2.06453
672 0.832194 1.18109 2.06175
673 0.836209 1.18189 2.0621
674 0.839809 1.18233 2.06139
675 0.843414 1.18277 2.06069
676 0.848731 1.18467 2.06412
677 0.852781 1.18547 2.06443
678 0.856839 1.18627 2.06473
679 0.861336 1.18744 2.06606
680 0.828647 1.18532 2.09278
681 0.82767 1.18174 2.08054
682 0.827922 1.17925 2.07147
683 0.829416 1.17786 2.06555
684 0.832165 1.17756 2.06277
685 0.836181 1.17836 2.06311
686 0.839357 1.17843 2.06136
687 0.844237 1.17995 2.06377
688 0.849131 1.18148 2.06617
689 0.853183 1.18227 2.06647
690 0.856814 1.1827 2.06574
691 0.827777 1.18103 2.0917
692 0.826801 1.17746 2.07946
693 0.827053 1.17498 2.07039
694 0.829385 1.17432 2.06656
695 0.832136 1.17403 2.06378
696 0.83573 1.17446 2.06308
697 0.83933 1.17489 2.06237
698 0.843785 1.17604 2.06374
699 0.848678 1.17756 2.06613
700 0.852301 1.17798 2.06541
701 0.856359 1.17877 2.06571
702 0.827738 1.17746 2.09271
703 0.826349 1.17355 2.07943
704 0.82702 1.17144 2.07141
705 0.828935 1.17043 2.06653
706 0.832106 1.17049 2.06479
707 0.835701 1.17092 2.06409
708 0.839302 1.17134 2.06338
709 0.844182 1.17285 2.06579
710 0.848224 1.17363 2.0661
711 0.852702 1.17478 2.06745
712 0.856333 1.1752 2.06671
713 0.826454 1.17281 2.09059
714 0.826729 1.17036 2.0815
715 0.826569 1.16754 2.07138
716 0.828903 1.16689 2.06754
717 0.831655 1.16659 2.06476
718 0.83525 1.16701 2.06406
719 0.839273 1.16779 2.06439
720 0.843305 1.16857 2.06472
721 0.847771 1.16971 2.06607
722 0.852248 1.17085 2.06742
723 0.856736 1.17198 2.06875
724 0.826415 1.16924 2.0916
725 0.824613 1.16501 2.07727
726 0.826118 1.16364 2.07135
727 0.827615 1.16227 2.06542
728 0.831204 1.16269 2.06473
729 0.835641 1.16383 2.06611
730 0.839667 1.1646 2.06644
731 0.844125 1.16573 2.0678
732 0.848168 1.1665 2.06812
733 0.852647 1.16763 2.06946
734 0.825252 1.16739 2.09963
735 0.825132 1.1646 2.08947
736 0.823746 1.16075 2.0762
737 0.824416 1.15868 2.06818
738 0.827165 1.15838 2.06539
739 0.831173 1.15915 2.06574
740 0.83519 1.15992 2.06608
741 0.839214 1.16069 2.06641
742 0.843672 1.16181 2.06777
743 0.847714 1.16257 2.06809
744 0.852192 1.16369 2.06943
745 0.822734 1.16168 2.09435
746 0.822195 1.15856 2.08315
747 0.820802 1.15472 2.06988
748 0.823966 1.15478 2.06814
749 0.827133 1.15484 2.06641
750 0.831142 1.1556 2.06675
751 0.835159 1.15636 2.06709
752 0.839607 1.15748 2.06846
753 0.843642 1.15824 2.06878
754 0.848111 1.15935 2.07013
755 0.852591 1.16046 2.07147
756 0.821562 1.15981 2.10238
757 0.821043 1.1567 2.09116
758 0.820501 1.15359 2.07997
759 0.821182 1.15153 2.07194
760 0.823516 1.15088 2.06811
761 0.8271 1.15129 2.06742
762 0.830691 1.1517 2.06672
763 0.834707 1.15245 2.06706
764 0.839576 1.15391 2.06947
765 0.843189 1.15432 2.06875
766 0.847232 1.15507 2.06906
767 0.851709 1.15617 2.0704
768 0.820696 1.15552 2.1013
769 0.818941 1.15138 2.08693
770 0.818395 1.14828 2.07575
771 0.819072 1.14624 2.06772
772 0.822649 1.14664 2.06704
773 0.826232 1.14704 2.06635
774 0.830659 1.14814 2.06774
775 0.834255 1.14855 2.06703
776 0.839123 1.14999 2.06944
777 0.843158 1.15074 2.06976
778 0.847202 1.15149 2.07007
779 0.851254 1.15224 2.07037
780 0.81901 1.15054 2.09811
